IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.159.146,2083,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,16299 kB/s
8.218.207.169,2083,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,13887 kB/s
8.218.207.169,8443,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,8922 kB/s
8.218.207.169,2096,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,7118 kB/s
47.236.146.249,2053,TRUE,SIN,Asia Pacific,Singapore,257 ms,6283 kB/s
47.236.164.215,8443,TRUE,SIN,Asia Pacific,Singapore,231 ms,6139 kB/s
47.236.117.48,2096,TRUE,SIN,Asia Pacific,Singapore,245 ms,5948 kB/s
8.222.193.65,2083,TRUE,SIN,Asia Pacific,Singapore,234 ms,5912 kB/s
47.237.82.15,8443,TRUE,SIN,Asia Pacific,Singapore,238 ms,5903 kB/s
47.236.170.225,2096,TRUE,SIN,Asia Pacific,Singapore,221 ms,5832 kB/s
47.237.92.26,8443,TRUE,SIN,Asia Pacific,Singapore,249 ms,5784 kB/s
47.236.167.231,2087,TRUE,SIN,Asia Pacific,Singapore,241 ms,5762 kB/s
8.210.9.129,8443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,5647 kB/s
47.236.205.188,8443,TRUE,SIN,Asia Pacific,Singapore,223 ms,5579 kB/s
47.245.86.230,2083,TRUE,SIN,Asia Pacific,Singapore,247 ms,5474 kB/s
47.236.9.152,2096,TRUE,SIN,Asia Pacific,Singapore,239 ms,5410 kB/s
47.236.93.176,2096,TRUE,SIN,Asia Pacific,Singapore,231 ms,5343 kB/s
47.76.159.146,2087,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,5199 kB/s
47.237.14.220,2087,TRUE,SIN,Asia Pacific,Singapore,240 ms,5194 kB/s
8.219.161.129,8443,TRUE,SIN,Asia Pacific,Singapore,236 ms,5088 kB/s
47.237.84.173,2096,TRUE,SIN,Asia Pacific,Singapore,219 ms,5073 kB/s
47.236.170.225,8443,TRUE,SIN,Asia Pacific,Singapore,232 ms,5013 kB/s
47.236.102.102,2053,TRUE,SIN,Asia Pacific,Singapore,249 ms,4986 kB/s
47.237.95.13,8443,TRUE,SIN,Asia Pacific,Singapore,230 ms,4939 kB/s
47.237.94.140,2083,TRUE,SIN,Asia Pacific,Singapore,228 ms,4894 kB/s
47.236.169.15,2087,TRUE,SIN,Asia Pacific,Singapore,234 ms,4860 kB/s
47.237.100.206,2096,TRUE,SIN,Asia Pacific,Singapore,233 ms,4837 kB/s
47.236.237.90,2087,TRUE,SIN,Asia Pacific,Singapore,241 ms,4811 kB/s
47.236.254.120,2096,TRUE,SIN,Asia Pacific,Singapore,236 ms,4741 kB/s
47.237.84.173,8443,TRUE,SIN,Asia Pacific,Singapore,239 ms,4725 kB/s
47.236.10.182,2096,TRUE,SIN,Asia Pacific,Singapore,254 ms,4668 kB/s
47.237.10.1,2096,TRUE,SIN,Asia Pacific,Singapore,232 ms,4654 kB/s
8.222.193.65,8443,TRUE,SIN,Asia Pacific,Singapore,233 ms,4639 kB/s
47.237.81.112,2096,TRUE,SIN,Asia Pacific,Singapore,235 ms,4614 kB/s
47.76.33.40,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,4602 kB/s
47.237.95.140,2096,TRUE,SIN,Asia Pacific,Singapore,240 ms,4591 kB/s
47.76.159.146,2053,TRUE,HKG,Asia Pacific,Hong Kong,84 ms,4576 kB/s
47.237.8.82,2087,TRUE,SIN,Asia Pacific,Singapore,232 ms,4571 kB/s
47.76.33.40,2083,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,4509 kB/s
47.236.174.206,2096,TRUE,SIN,Asia Pacific,Singapore,228 ms,4428 kB/s
8.222.193.65,2096,TRUE,SIN,Asia Pacific,Singapore,245 ms,4423 kB/s
47.236.102.102,2096,TRUE,SIN,Asia Pacific,Singapore,226 ms,4420 kB/s
47.237.10.1,2087,TRUE,SIN,Asia Pacific,Singapore,280 ms,4383 kB/s
47.236.237.90,8443,TRUE,SIN,Asia Pacific,Singapore,231 ms,4355 kB/s
47.236.174.206,8443,TRUE,SIN,Asia Pacific,Singapore,235 ms,4354 kB/s
47.236.167.231,8443,TRUE,SIN,Asia Pacific,Singapore,253 ms,4348 kB/s
47.236.102.102,2087,TRUE,SIN,Asia Pacific,Singapore,257 ms,4318 kB/s
8.222.134.170,2087,TRUE,SIN,Asia Pacific,Singapore,228 ms,4308 kB/s
47.237.95.146,8443,TRUE,SIN,Asia Pacific,Singapore,234 ms,4297 kB/s
47.236.180.51,8443,TRUE,SIN,Asia Pacific,Singapore,243 ms,4261 kB/s
47.237.86.185,2096,TRUE,SIN,Asia Pacific,Singapore,245 ms,4258 kB/s
47.245.86.230,2087,TRUE,SIN,Asia Pacific,Singapore,245 ms,4236 kB/s
47.237.10.1,8443,TRUE,SIN,Asia Pacific,Singapore,227 ms,4200 kB/s
47.236.237.90,2096,TRUE,SIN,Asia Pacific,Singapore,256 ms,4170 kB/s
47.237.8.82,2053,TRUE,SIN,Asia Pacific,Singapore,269 ms,4150 kB/s
47.236.117.48,2087,TRUE,SIN,Asia Pacific,Singapore,228 ms,4136 kB/s
8.219.86.200,2053,TRUE,SIN,Asia Pacific,Singapore,219 ms,4117 kB/s
47.237.100.206,8443,TRUE,SIN,Asia Pacific,Singapore,229 ms,4115 kB/s
8.219.100.168,2087,TRUE,SIN,Asia Pacific,Singapore,240 ms,4068 kB/s
47.237.95.13,2087,TRUE,SIN,Asia Pacific,Singapore,237 ms,4012 kB/s
47.236.9.152,8443,TRUE,SIN,Asia Pacific,Singapore,244 ms,4011 kB/s
47.236.102.102,8443,TRUE,SIN,Asia Pacific,Singapore,246 ms,4005 kB/s
47.236.205.188,2087,TRUE,SIN,Asia Pacific,Singapore,218 ms,3952 kB/s
47.236.253.41,2096,TRUE,SIN,Asia Pacific,Singapore,223 ms,3941 kB/s
47.236.117.48,2053,TRUE,SIN,Asia Pacific,Singapore,256 ms,3933 kB/s
47.236.253.41,8443,TRUE,SIN,Asia Pacific,Singapore,234 ms,3928 kB/s
47.236.93.176,2087,TRUE,SIN,Asia Pacific,Singapore,232 ms,3927 kB/s
47.236.158.158,8443,TRUE,SIN,Asia Pacific,Singapore,252 ms,3923 kB/s
8.219.161.129,2096,TRUE,SIN,Asia Pacific,Singapore,243 ms,3912 kB/s
47.236.254.120,2087,TRUE,SIN,Asia Pacific,Singapore,230 ms,3894 kB/s
8.219.174.213,8443,TRUE,SIN,Asia Pacific,Singapore,246 ms,3894 kB/s
47.236.165.25,2083,TRUE,SIN,Asia Pacific,Singapore,231 ms,3854 kB/s
8.222.193.65,443,TRUE,SIN,Asia Pacific,Singapore,249 ms,3820 kB/s
47.236.180.51,2053,TRUE,SIN,Asia Pacific,Singapore,226 ms,3789 kB/s
47.237.92.26,2087,TRUE,SIN,Asia Pacific,Singapore,232 ms,3764 kB/s
8.219.42.72,443,TRUE,SIN,Asia Pacific,Singapore,228 ms,3747 kB/s
8.222.193.65,2053,TRUE,SIN,Asia Pacific,Singapore,238 ms,3730 kB/s
47.236.253.41,2087,TRUE,SIN,Asia Pacific,Singapore,218 ms,3723 kB/s
47.237.82.15,2096,TRUE,SIN,Asia Pacific,Singapore,239 ms,3722 kB/s
47.236.158.158,2087,TRUE,SIN,Asia Pacific,Singapore,236 ms,3704 kB/s
47.237.8.82,8443,TRUE,SIN,Asia Pacific,Singapore,242 ms,3682 kB/s
8.219.174.213,2053,TRUE,SIN,Asia Pacific,Singapore,235 ms,3640 kB/s
47.236.10.100,8443,TRUE,SIN,Asia Pacific,Singapore,266 ms,3615 kB/s
47.236.144.48,2087,TRUE,SIN,Asia Pacific,Singapore,231 ms,3615 kB/s
47.236.102.102,2083,TRUE,SIN,Asia Pacific,Singapore,244 ms,3601 kB/s
