IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.149.28,2052,2052,false,HKG,Asia Pacific,Hong Kong,23,1.36
158.179.164.17,2052,2052,false,ICN,Asia Pacific,Seoul,106,1.23
47.237.10.1,2052,2052,false,SIN,Asia Pacific,Singapore,268,1.08
47.236.144.48,2052,2052,false,SIN,Asia Pacific,Singapore,107,0.82
8.210.9.129,2052,2052,false,HKG,Asia Pacific,Hong Kong,28,0.76
47.236.149.107,2052,2052,false,SIN,Asia Pacific,Singapore,110,0.75
47.236.180.24,2052,2052,false,SIN,Asia Pacific,Singapore,117,0.71
47.236.125.62,2052,2052,false,NRT,Asia Pacific,Tokyo,179,0.69
47.236.144.208,2052,2052,false,SIN,Asia Pacific,Singapore,109,0.69
47.236.174.206,2052,2052,false,SIN,Asia Pacific,Singapore,108,0.68
47.236.168.17,2052,2052,false,SIN,Asia Pacific,Singapore,106,0.58
47.236.170.225,2052,2052,false,SIN,Asia Pacific,Singapore,109,0.56
8.222.134.170,2052,2052,false,SIN,Asia Pacific,Singapore,62,0.52
47.76.33.40,2052,2052,false,HKG,Asia Pacific,Hong Kong,27,0.50
47.236.102.102,2052,2052,false,SIN,Asia Pacific,Singapore,108,0.50
8.219.202.130,2052,2052,false,SIN,Asia Pacific,Singapore,101,0.47
8.222.174.108,2052,2052,false,SIN,Asia Pacific,Singapore,59,0.36
47.237.94.140,2052,2052,false,SIN,Asia Pacific,Singapore,267,0.35
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,110,0.30
47.245.86.230,2052,2052,false,SIN,Asia Pacific,Singapore,418,0.24
8.218.188.129,2052,2052,false,HKG,Asia Pacific,Hong Kong,22,0.22
47.236.10.100,2052,2052,false,SIN,Asia Pacific,Singapore,113,0.21
8.219.161.129,2052,2052,false,SIN,Asia Pacific,Singapore,104,0.18
47.236.93.176,2052,2052,false,SIN,Asia Pacific,Singapore,109,0.05
8.222.180.86,2052,2052,false,SIN,Asia Pacific,Singapore,64,0.05
47.236.172.95,2052,2052,false,SIN,Asia Pacific,Singapore,106,0.04
47.236.232.148,2052,2052,false,SIN,Asia Pacific,Singapore,108,0.04
47.236.189.92,2052,2052,false,SIN,Asia Pacific,Singapore,109,0.03
47.236.171.205,2052,2052,false,SIN,Asia Pacific,Singapore,110,0.03
47.237.83.20,2052,2052,false,SIN,Asia Pacific,Singapore,267,0.03
47.237.81.112,2052,2052,false,SIN,Asia Pacific,Singapore,268,0.03
47.237.95.146,2052,2052,false,SIN,Asia Pacific,Singapore,273,0.03
47.236.150.13,2052,2052,false,SIN,Asia Pacific,Singapore,106,0.02
47.237.84.173,2052,2052,false,SIN,Asia Pacific,Singapore,269,0.02
47.237.95.140,2052,2052,false,SIN,Asia Pacific,Singapore,278,0.01
47.237.92.26,2052,2052,false,SIN,Asia Pacific,Singapore,267,0.01
120.220.19.103,2052,2052,false,HKG,Asia Pacific,Hong Kong,51,0.00
120.220.19.109,2052,2052,false,HKG,Asia Pacific,Hong Kong,56,0.00
94.19.170.56,2052,2052,false,WAW,Europe,Warsaw,199,0.00
