IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.110.234.120,80,80,false,HKG,Asia Pacific,Hong Kong,48,2.23
23.94.136.126,80,443,true,ORD,North America,Chicago,216,1.72
8.217.239.116,80,80,false,HKG,Asia Pacific,Hong Kong,30,1.58
8.219.42.72,80,80,false,SIN,Asia Pacific,Singapore,64,1.32
34.117.254.68,80,80,false,HKG,Asia Pacific,Hong Kong,49,1.10
34.36.183.121,80,80,false,LAX,North America,Los Angeles,213,0.97
8.219.202.130,80,80,false,SIN,Asia Pacific,Singapore,108,0.97
43.129.171.137,80,80,false,HKG,Asia Pacific,Hong Kong,29,0.94
47.236.169.141,80,80,false,SIN,Asia Pacific,Singapore,112,0.85
47.236.93.176,80,80,false,SIN,Asia Pacific,Singapore,106,0.71
47.236.158.158,80,80,false,SIN,Asia Pacific,Singapore,116,0.71
141.147.147.28,80,80,false,KIX,Asia Pacific,Osaka,105,0.68
47.236.205.188,80,80,false,SIN,Asia Pacific,Singapore,108,0.66
8.222.249.190,80,80,false,SIN,Asia Pacific,Singapore,58,0.60
23.224.22.211,80,80,false,LAX,North America,Los Angeles,194,0.57
8.219.99.169,80,80,false,SIN,Asia Pacific,Singapore,63,0.54
35.244.181.58,80,80,false,HKG,Asia Pacific,Hong Kong,50,0.49
8.219.100.168,80,80,false,SIN,Asia Pacific,Singapore,62,0.47
8.219.161.129,80,80,false,SIN,Asia Pacific,Singapore,103,0.44
8.222.174.108,80,80,false,SIN,Asia Pacific,Singapore,60,0.44
3.68.124.231,80,80,false,FRA,Europe,Frankfurt,216,0.39
47.236.254.120,80,80,false,SIN,Asia Pacific,Singapore,105,0.38
8.219.40.37,80,80,false,SIN,Asia Pacific,Singapore,62,0.35
47.237.0.31,80,80,false,SIN,Asia Pacific,Singapore,281,0.27
170.106.35.96,80,80,false,IAD,North America,Ashburn,236,0.24
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,224,0.21
47.237.83.20,80,80,false,SIN,Asia Pacific,Singapore,270,0.19
47.236.144.196,80,80,false,SIN,Asia Pacific,Singapore,111,0.10
47.236.102.102,80,80,false,SIN,Asia Pacific,Singapore,108,0.06
3.23.238.192,80,80,false,ORD,North America,Chicago,277,0.06
47.236.149.107,80,80,false,SIN,Asia Pacific,Singapore,128,0.04
13.212.204.68,80,80,false,SIN,Asia Pacific,Singapore,56,0.04
47.236.189.92,80,80,false,SIN,Asia Pacific,Singapore,116,0.04
47.236.17.193,80,80,false,SIN,Asia Pacific,Singapore,106,0.03
47.236.174.206,80,80,false,SIN,Asia Pacific,Singapore,108,0.03
34.82.76.253,80,80,false,SEA,North America,Seattle,201,0.03
8.210.9.129,80,80,false,HKG,Asia Pacific,Hong Kong,24,0.02
47.236.97.90,80,80,false,SIN,Asia Pacific,Singapore,131,0.02
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,272,0.02
192.3.235.89,80,80,false,DFW,North America,Dallas,254,0.02
8.210.107.246,80,80,false,HKG,Asia Pacific,Hong Kong,36,0.01
47.76.159.146,80,80,false,HKG,Asia Pacific,Hong Kong,25,0.00
34.80.222.225,80,443,false,SIN,Asia Pacific,Singapore,63,0.00
104.199.156.241,80,443,false,SIN,Asia Pacific,Singapore,28,0.00
52.53.250.40,80,443,true,SJC,North America,San Jose,209,0.00
204.110.220.12,80,443,true,SEA,North America,Seattle,193,0.00
47.237.8.82,80,80,false,SIN,Asia Pacific,Singapore,271,0.00
204.110.220.181,80,443,true,SEA,North America,Seattle,188,0.00
204.110.220.1,80,443,true,SEA,North America,Seattle,191,0.00
204.110.220.120,80,443,true,SEA,North America,Seattle,195,0.00
204.110.220.53,80,443,true,SEA,North America,Seattle,195,0.00
47.237.95.146,80,80,false,SIN,Asia Pacific,Singapore,263,0.00
204.110.220.171,80,443,true,SEA,North America,Seattle,187,0.00
204.110.220.217,80,443,true,SEA,North America,Seattle,182,0.00
204.110.221.92,80,443,true,SEA,North America,Seattle,197,0.00
13.56.207.185,80,443,true,SJC,North America,San Jose,194,0.00
204.110.221.255,80,443,true,SEA,North America,Seattle,199,0.00
204.110.220.165,80,443,true,SEA,North America,Seattle,195,0.00
204.110.221.95,80,443,true,SEA,North America,Seattle,182,0.00
204.110.221.198,80,443,true,SEA,North America,Seattle,191,0.00
204.110.221.43,80,443,true,SEA,North America,Seattle,185,0.00
3.101.110.90,80,443,true,SJC,North America,San Jose,178,0.00
54.212.77.119,80,443,true,SEA,North America,Seattle,214,0.00
47.251.74.226,80,80,false,LAX,North America,Los Angeles,206,0.00
47.236.172.95,80,80,false,SIN,Asia Pacific,Singapore,105,0.00
54.241.86.88,80,443,true,SJC,North America,San Jose,195,0.00
204.110.221.34,80,443,true,SEA,North America,Seattle,202,0.00
52.53.247.43,80,443,true,SJC,North America,San Jose,201,0.00
54.176.142.183,80,443,true,SJC,North America,San Jose,203,0.00
204.110.220.128,80,443,true,SEA,North America,Seattle,193,0.00
204.110.221.31,80,443,true,SEA,North America,Seattle,186,0.00
67.226.222.222,80,443,true,ORD,North America,Chicago,277,0.00
54.193.109.100,80,443,true,SJC,North America,San Jose,201,0.00
54.78.120.160,80,443,true,DUB,Europe,Dublin,171,0.00
52.209.63.176,80,443,true,DUB,Europe,Dublin,199,0.00
47.76.94.15,80,80,false,HKG,Asia Pacific,Hong Kong,30,0.00
67.226.222.208,80,443,true,ORD,North America,Chicago,246,0.00
3.141.95.66,80,8080,false,ORD,North America,Chicago,277,0.00
67.226.222.179,80,443,true,ORD,North America,Chicago,272,0.00
67.226.222.214,80,443,true,ORD,North America,Chicago,277,0.00
13.40.173.181,80,443,true,LHR,Europe,London,373,0.00
3.10.245.25,80,443,true,LHR,Europe,London,372,0.00
54.183.193.193,80,443,true,SJC,North America,San Jose,202,0.00
67.226.222.217,80,443,true,ORD,North America,Chicago,280,0.00
