IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.95.140,8080,0,false,SIN,Asia Pacific,Singapore,313,0.02
47.236.102.102,2086,0,false,SIN,Asia Pacific,Singapore,233,0.02
8.219.124.227,8080,0,false,SIN,Asia Pacific,Singapore,65,0.01
47.236.180.24,8080,0,false,SIN,Asia Pacific,Singapore,229,0.01
47.236.168.17,2082,0,false,SIN,Asia Pacific,Singapore,226,0.01
47.237.94.140,8080,0,false,SIN,Asia Pacific,Singapore,279,0.01
8.219.220.88,2095,2095,false,SIN,Asia Pacific,Singapore,245,0.01
47.237.100.206,2086,0,false,SIN,Asia Pacific,Singapore,301,0.01
47.237.10.1,2095,0,false,SIN,Asia Pacific,Singapore,288,0.01
47.236.172.95,8880,0,false,SIN,Asia Pacific,Singapore,231,0.00
47.236.145.85,2095,0,false,SIN,Asia Pacific,Singapore,239,0.00
47.236.170.54,8880,0,false,SIN,Asia Pacific,Singapore,249,0.00
8.219.0.48,2086,0,false,SIN,Asia Pacific,Singapore,61,0.00
8.219.174.142,443,0,true,SIN,Asia Pacific,Singapore,251,0.00
47.236.10.182,2082,0,false,SIN,Asia Pacific,Singapore,249,0.00
8.219.237.250,80,0,false,SIN,Asia Pacific,Singapore,246,0.00
47.236.189.92,8080,0,false,SIN,Asia Pacific,Singapore,253,0.00
47.236.169.164,2052,0,false,SIN,Asia Pacific,Singapore,251,0.00
8.219.191.40,80,0,false,SIN,Asia Pacific,Singapore,238,0.00
47.236.169.15,2095,0,false,SIN,Asia Pacific,Singapore,254,0.00
47.236.180.51,80,0,false,SIN,Asia Pacific,Singapore,255,0.00
8.219.220.88,2082,0,false,SIN,Asia Pacific,Singapore,252,0.00
47.236.121.23,2082,0,false,SIN,Asia Pacific,Singapore,236,0.00
8.219.174.213,8443,0,true,SIN,Asia Pacific,Singapore,232,0.00
47.236.83.239,2082,0,false,SIN,Asia Pacific,Singapore,241,0.00
8.219.51.211,2095,2095,false,SIN,Asia Pacific,Singapore,64,0.00
8.219.248.47,2082,0,false,SIN,Asia Pacific,Singapore,219,0.00
8.219.139.13,80,0,false,SIN,Asia Pacific,Singapore,216,0.00
47.236.5.223,2095,0,false,SIN,Asia Pacific,Singapore,250,0.00
47.236.167.231,80,0,false,SIN,Asia Pacific,Singapore,219,0.00
47.236.144.196,8880,0,false,SIN,Asia Pacific,Singapore,239,0.00
175.41.130.169,443,0,true,SIN,Asia Pacific,Singapore,51,0.00
47.236.75.113,8880,0,false,SIN,Asia Pacific,Singapore,240,0.00
